year,diebstahl_insgesamt,wohnungseinbruch,kfz_diebstahl
2014,27.0,15.9,27.5
2015,27.0,15.2,27.0
2016,27.2,16.9,25.1
2017,28.5,17.8,26.7
2018,29.3,18.1,28.5
2019,29.2,17.4,28.8
2020,30.1,17.6,33.8
2021,29.3,19.5,31.2
2022,29.8,16.1,31.1
2023,31.8,14.9,27.3
2024,31.4,15.3,29.2
