year,bundesland,diebstahl_insgesamt,kfz_diebstahl,wohnungseinbruch
2020,Rheinland-Pfalz,55406.0,771.0,2627.0
2020,Saarland,20842.0,265.0,1371.0
2020,Sachsen,102670.0,1517.0,2831.0
2020,Sachsen-Anhalt,61976.0,904.0,2125.0
2020,Schleswig-Holstein,61630.0,771.0,3268.0
2020,Thüringen,38982.0,520.0,949.0
2021,Baden-Württemberg,113535.0,1078.0,3298.0
2021,Bayern,109895.0,1234.0,2322.0
2021,Berlin,179455.0,4273.0,4984.0
2021,Brandenburg,50572.0,1789.0,1869.0
2021,Bremen,27619.0,291.0,1268.0
2021,Hamburg,71197.0,1184.0,2204.0
2021,Hessen,93148.0,895.0,3858.0
2021,Mecklenburg-Vorpommern,25725.0,360.0,927.0
2021,Niedersachsen,129615.0,1516.0,5175.0
2021,Nordrhein-Westfalen,390669.0,4459.0,18576.0
2021,Rheinland-Pfalz,47144.0,845.0,1874.0
2021,Saarland,16414.0,268.0,1044.0
2021,Sachsen,86004.0,1443.0,1977.0
2021,Sachsen-Anhalt,53382.0,767.0,1702.0
2021,Schleswig-Holstein,56369.0,722.0,2249.0
2021,Thüringen,32823.0,460.0,909.0
2022,Baden-Württemberg,155525.0,1295.0,4508.0
2022,Bayern,138025.0,1449.0,2844.0
2022,Berlin,213803.0,5581.0,6155.0
2022,Brandenburg,53218.0,1780.0,2506.0
2022,Bremen,31635.0,270.0,1486.0
2022,Hamburg,84593.0,1305.0,2506.0
2022,Hessen,111709.0,1075.0,4275.0
2022,Mecklenburg-Vorpommern,30022.0,364.0,805.0
2022,Niedersachsen,161652.0,1837.0,6510.0
2022,Nordrhein-Westfalen,479657.0,5864.0,23528.0
2022,Rheinland-Pfalz,58359.0,832.0,2515.0
2022,Saarland,20080.0,351.0,1006.0
2022,Sachsen,89206.0,1470.0,2090.0
2022,Sachsen-Anhalt,52736.0,782.0,1716.0
2022,Schleswig-Holstein,67149.0,752.0,2675.0
2022,Thüringen,33414.0,504.0,783.0
2023,Baden-Württemberg,177121.0,1503.0,5204.0
2023,Bayern,152495.0,1662.0,3436.0
2023,Berlin,226393.0,7781.0,8323.0
2023,Brandenburg,58737.0,2129.0,2999.0
2023,Bremen,41786.0,442.0,1820.0
2023,Hamburg,98773.0,1582.0,3080.0
2023,Hessen,124919.0,1118.0,5206.0
2023,Mecklenburg-Vorpommern,31904.0,282.0,890.0
2023,Niedersachsen,178710.0,2141.0,7646.0
2023,Nordrhein-Westfalen,529805.0,6674.0,27061.0
2023,Rheinland-Pfalz,62707.0,830.0,2689.0
2023,Saarland,22184.0,360.0,964.0
2023,Sachsen,96140.0,1239.0,2236.0
2023,Sachsen-Anhalt,58043.0,858.0,1768.0
2023,Schleswig-Holstein,71825.0,907.0,3271.0
2023,Thüringen,39893.0,477.0,1226.0
2024,Baden-Württemberg,172592.0,1686.0,5286.0
2024,Bayern,155908.0,1702.0,3605.0
2024,Berlin,223586.0,7574.0,8529.0
2024,Brandenburg,53021.0,2180.0,2557.0
2024,Bremen,49862.0,538.0,1561.0
